punto,fecha,CO,NO2,PM10,PM2.5,SO2
CA-ILO-01,2022-08-23,225.9439583333333,5.199130434782608,14.975,10.15,5.9479999999999995
CA-ILO-01,2022-08-24,225.83369565217393,5.159565217391305,17.63478260869565,12.466666666666667,6.163939393939394
CA-ILO-01,2022-08-25,228.84833333333333,5.5304166666666665,18.483333333333334,12.97272727272727,5.919259259259259
CA-ILO-01,2022-08-26,234.41229166666668,7.318333333333334,15.204545454545455,10.65263157894737,6.058888888888889
CA-ILO-01,2022-08-27,250.39499999999998,4.958333333333333,15.769565217391303,11.263157894736842,6.113333333333333
CA-ILO-01,2022-08-28,258.69363636363636,4.876818181818181,17.675,13.622222222222224,6.9554285714285715
CA-ILO-01,2022-08-29,258.4626086956522,5.96,15.766666666666667,11.578947368421053,6.2
CA-ILO-01,2022-08-30,251.79239130434783,4.756086956521739,12.318181818181818,9.895,6.154761904761905
CA-ILO-01,2022-08-31,251.59829787234045,9.02608695652174,13.804166666666667,10.582608695652175,7.1714705882352945
CA-ILO-01,2022-09-01,236.93170212765955,6.007916666666667,13.790416666666667,9.787083333333333,7.99547619047619
CA-ILO-01,2022-09-02,239.18770833333335,5.515909090909091,11.628333333333332,9.2524,6.4788
CA-ILO-01,2022-09-03,252.50458333333336,5.417727272727273,13.294583333333334,10.5208,6.377222222222223
CA-ILO-01,2022-09-04,256.62936170212765,4.615454545454546,13.6296,10.7052,6.3536363636363635
CA-ILO-01,2022-09-05,276.26854166666664,7.970416666666666,18.028,14.1624,11.006
CA-ILO-01,2022-09-06,292.11645833333336,7.838181818181818,11.359166666666667,9.2728,6.538260869565217
CA-ILO-01,2022-09-07,296.79375,8.286666666666667,11.103333333333333,8.564583333333333,6.60962962962963
CA-ILO-01,2022-09-08,302.82687500000003,5.930434782608696,9.2904,7.233478260869566,6.5892
CA-ILO-01,2022-09-09,282.59583333333336,5.967272727272728,9.5352,7.5296,6.648695652173912
CA-ILO-01,2022-09-10,268.02208333333334,6.043333333333333,13.322000000000001,10.488399999999999,6.6528
CA-ILO-01,2022-09-11,265.42125,5.053333333333334,9.9168,7.848181818181818,7.046774193548386
CA-ILO-01,2022-09-12,282.7717021276596,7.0926086956521734,11.0676,8.414,8.210277777777778
CA-ILO-01,2022-09-13,280.7402173913043,6.33,8.4696,6.640000000000001,6.602692307692307
CA-ILO-01,2022-09-14,259.0552083333333,5.808947368421053,11.78875,8.872083333333334,6.717307692307693
CA-ILO-01,2022-09-15,235.33041666666668,6.333913043478261,14.2592,10.4792,6.802173913043478
CA-ILO-01,2022-09-16,245.326875,6.115714285714286,14.258181818181818,10.454545454545455,6.907037037037037
CA-ILO-01,2024-03-22,304.23770833333333,7.017142857142857,14.3432,7.374,14.483947368421052
CA-ILO-01,2024-03-23,323.1514583333333,8.22125,15.3596,8.040000000000001,22.166326530612245
CA-ILO-01,2024-03-24,322.9795833333333,7.959166666666667,20.4236,9.6884,16.41390243902439
CA-ILO-01,2024-03-25,332.2184782608696,11.238095238095237,23.070000000000004,9.6652,21.09720930232558
CA-ILO-01,2024-03-26,343.3933333333334,11.358333333333334,19.6748,7.821600000000001,14.30275
CA-ILO-01,2024-03-27,294.945625,6.669090909090909,12.602083333333333,5.6,38.700909090909086
CA-ILO-01,2024-03-28,290.48765957446807,6.120909090909091,13.494000000000002,6.9604,14.863
CA-ILO-01,2024-03-29,277.45104166666664,5.021904761904762,10.955416666666666,6.8012,14.37372093023256
CA-ILO-01,2024-03-30,276.41914893617025,4.78,11.692,6.888,13.199642857142857
CA-ILO-01,2024-03-31,283.045,5.921428571428571,12.437999999999999,7.260800000000001,13.690588235294118
CA-ILO-01,2024-04-01,283.0712765957447,6.306086956521739,12.450416666666667,6.6168000000000005,14.441463414634146
CA-ILO-01,2024-04-02,292.80625000000003,7.941739130434782,16.6176,8.588799999999999,13.93357142857143
CA-ILO-01,2024-04-03,286.843125,6.23375,12.076400000000001,6.5,15.432285714285713
CA-ILO-01,2024-04-04,283.87939393939394,7.57590909090909,15.3052,6.770833333333333,18.455348837209304
CA-ILO-01,2024-04-05,297.5045833333333,9.107826086956521,20.6356,10.0364,33.63869565217391
CA-ILO-01,2024-04-06,298.5904255319149,8.54875,21.0856,12.0288,24.24590909090909
CA-ILO-01,2024-04-07,291.07145833333334,7.3536363636363635,25.1692,14.7408,21.217045454545453
CA-ILO-01,2024-04-08,298.6802083333333,8.86875,20.4624,11.496666666666668,32.82152173913043
CA-ILO-01,2024-04-09,334.275625,8.3275,20.856399999999997,11.985999999999999,31.159375
CA-ILO-01,2024-04-10,361.66625,10.898181818181818,25.746800000000004,15.71,50.07217391304348
CA-ILO-01,2024-04-11,352.7164583333333,7.409565217391304,19.5672,11.1908,28.489047619047618
CA-ILO-01,2024-04-12,328.6421739130435,7.155833333333334,18.571739130434782,9.665652173913044,18.892162162162162
CA-ILO-01,2024-04-13,301.00666666666666,9.295833333333333,21.7632,12.058,18.721739130434784
CA-ILO-01,2024-04-14,306.94340425531914,9.575000000000001,21.4928,11.46125,33.563125
CA-ILO-01,2024-04-15,282.65500000000003,6.493478260869565,42.756800000000005,14.701666666666666,15.13
CA-ILO-01,2024-04-16,278.439375,6.64695652173913,15.578,7.3625,18.360434782608696
CA-ILO-01,2024-04-17,301.3887234042553,11.340416666666668,20.6224,10.948,30.10142857142857
CA-ILO-01,2024-04-18,275.55382978723406,9.370416666666666,22.8896,11.6728,16.40487804878049
CA-ILO-01,2024-04-19,273.8372340425532,9.945652173913043,27.5672,13.4048,16.83232558139535
CA-ILO-01,2024-04-20,270.40708333333333,10.398333333333333,26.5792,12.5336,29.513191489361706
CA-ILO-01,2024-04-21,280.751875,7.32304347826087,21.1572,10.962,22.879268292682926
CA-ILO-01,2024-04-22,298.10020833333334,10.280869565217392,27.819200000000002,13.6544,22.767916666666665
CA-ILO-01,2024-04-23,289.8379166666667,10.355909090909092,30.142083333333332,12.9936,26.683829787234046
CA-ILO-01,2024-04-24,314.681875,11.37782608695652,19.2444,10.9856,22.446595744680852
CA-ILO-01,2024-04-25,286.24978723404257,9.004347826086956,20.801666666666666,10.710833333333333,23.770666666666667
CA-ILO-01,2024-04-26,297.3676595744681,16.095833333333335,22.872,10.0992,16.95195652173913
CA-ILO-01,2024-04-27,309.8455319148936,13.4475,23.9832,11.5288,21.243877551020407
CA-ILO-01,2024-04-28,273.12791666666664,8.690434782608696,16.3725,8.92,16.52139534883721
CA-ILO-01,2024-04-29,286.69041666666664,10.953913043478261,35.7564,17.7852,15.928095238095239
CA-ILO-01,2024-04-30,296.98833333333334,9.63888888888889,18.2088,9.8284,18.052
CA-ILO-01,2024-09-13,304.85041666666666,6.845000000000001,14.965000000000002,8.358333333333333,8.354761904761904
CA-ILO-01,2024-09-14,313.71382978723403,5.480869565217391,16.3968,9.2112,5.347250000000001
CA-ILO-01,2024-09-15,322.00446808510634,4.915,19.3336,11.739600000000001,5.307666666666666
CA-ILO-01,2024-09-16,338.26479166666667,7.295454545454546,16.770799999999998,10.078,5.342
CA-ILO-01,2024-09-17,361.15021276595746,6.4725,23.566799999999997,13.891666666666666,9.45135135135135
CA-ILO-01,2024-09-18,368.33916666666664,6.967391304347826,20.882399999999997,11.9024,5.8080487804878045
CA-ILO-01,2024-09-19,375.06583333333333,5.39695652173913,12.58,8.0324,5.1
CA-ILO-01,2024-09-20,366.0652173913044,8.056521739130435,21.0068,12.760399999999999,5.715263157894737
CA-ILO-01,2024-09-21,327.516170212766,6.415833333333333,28.5652,16.290399999999998,9.049111111111111
CA-ILO-01,2024-09-22,346.27106382978724,5.066666666666666,19.357916666666664,11.998750000000001,7.448157894736841
CA-ILO-01,2024-09-23,368.664375,7.011666666666667,18.132,11.4828,7.20051282051282
CA-ILO-01,2024-09-24,349.3281578947368,6.223125,13.995454545454544,8.091818181818182,4.87047619047619
CA-ILO-01,2024-09-25,331.280625,6.000416666666666,20.5412,10.582608695652175,5.388857142857144
CA-ILO-01,2024-09-26,335.5733333333333,6.1747826086956525,16.791600000000003,8.954166666666667,5.25375
CA-ILO-01,2024-09-27,347.9075,7.5425,16.8732,8.389166666666666,4.865666666666667
CA-ILO-01,2024-09-28,366.8495833333333,6.54695652173913,18.698,11.064,5.485405405405405
CA-ILO-01,2024-09-29,381.55625000000003,5.460869565217391,14.442,8.962083333333334,5.02576923076923
CA-ILO-01,2024-09-30,419.49333333333334,7.158695652173913,15.9944,12.145199999999999,8.26972972972973
CA-ILO-01,2024-10-01,420.29375,5.56,12.346666666666666,8.74,5.056896551724138
CA-ILO-01,2024-10-02,426.44416666666666,6.570833333333333,17.538800000000002,10.761249999999999,5.538235294117648
CA-ILO-01,2024-10-03,413.5828260869566,7.18875,15.2544,8.844166666666666,5.12
CA-ILO-01,2024-10-04,336.30604166666666,6.861304347826087,16.5156,10.957500000000001,24.321190476190477
CA-ILO-01,2024-10-05,338.71468085106386,5.689565217391305,16.1052,11.1348,5.4591666666666665
CA-ILO-01,2024-10-06,368.50895833333334,7.4339130434782605,20.051666666666666,13.044,6.519268292682927
CA-ILO-01,2024-10-07,375.0455319148936,6.951739130434782,18.58,12.3576,6.210243902439024
CA-ILO-01,2024-10-08,385.2920833333333,4.669545454545455,7.6692,6.0927999999999995,4.760000000000001
CA-ILO-01,2024-10-09,360.39630434782606,5.030909090909091,9.602857142857143,7.246363636363636,8.856111111111112
CA-ILO-01,2024-10-10,330.15791666666667,4.61,8.1708,5.1928,4.651212121212121
